"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 73 ",0,0,0,0,11,11,0,18,48,13,0,36,0,0,0,0,0,43,64,0
"otu 74 ",128,0,7,5,0,7,14,0,23,31,13,6,0,0,0,0,0,0,0,0
"otu 75 ",0,12,16,0,14,0,0,12,0,14,67,18,32,0,0,20,8,9,12,0
"otu 76 ",0,12,0,0,0,0,6,12,0,0,8,7,20,23,15,30,15,37,48,0
"otu 77 ",0,15,12,20,17,0,18,0,45,24,17,0,28,0,0,15,0,7,11,0
"otu 78 ",0,0,30,0,17,0,0,9,25,21,75,52,0,0,0,0,0,0,0,0
"otu 79 ",26,3,17,0,0,0,6,6,12,16,14,0,38,19,11,9,19,8,18,0
"otu 80 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
"otu 81 ",92,12,21,0,0,0,0,0,0,0,0,0,37,0,0,16,0,18,15,0
"otu 82 ",10,12,0,0,0,0,0,0,66,18,24,0,16,0,9,38,0,6,12,0
"otu 83 ",0,15,10,0,0,0,9,19,18,5,13,12,37,0,13,17,5,13,25,0
"otu 84 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
"otu 85 ",0,0,21,0,10,12,18,25,16,21,36,25,10,0,0,11,4,0,0,0
"otu 86 ",14,0,0,0,0,0,0,0,11,23,19,0,29,0,24,18,10,17,39,0
"otu 87 ",0,2,0,0,0,0,0,0,5,0,0,0,6,0,4,0,2,3,0,179
"otu 88 ",24,10,0,0,0,0,0,16,10,0,0,0,46,0,12,34,0,21,24,0
"otu 89 ",48,52,0,0,0,0,0,0,0,0,0,0,62,14,18,0,0,0,0,0
"otu 90 ",0,31,5,0,3,0,3,3,18,19,7,0,6,15,18,16,18,13,10,0
"otu 91 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
"otu 92 ",17,0,0,0,14,0,13,0,24,0,0,0,43,0,13,11,0,17,28,0
"otu 93 ",0,0,0,0,0,0,0,34,20,16,14,0,0,0,0,0,6,46,41,0
"otu 94 ",0,18,0,15,0,14,0,26,33,13,17,0,37,0,0,0,0,0,0,0
"otu 95 ",0,0,13,5,17,0,13,13,0,22,31,27,9,0,10,0,0,0,6,0
"otu 96 ",0,0,0,0,0,0,0,0,0,39,0,0,38,0,55,34,0,0,0,0
"otu 97 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
"otu 98 ",0,0,12,13,0,0,0,14,14,19,60,23,0,0,0,0,0,0,0,0
"otu 99 ",0,43,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,35,0,0
"otu 100 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"otu 101 ",0,0,12,0,6,10,14,13,0,23,42,12,0,0,6,11,0,0,0,0
"otu 102 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
"otu 103 ",0,4,8,0,0,0,5,14,11,9,23,11,19,6,6,7,0,9,8,0
"otu 104 ",0,0,20,0,9,7,0,16,30,17,0,9,23,0,0,0,0,0,0,0
"otu 105 ",0,0,7,0,0,0,4,0,0,0,0,14,0,0,44,30,0,0,32,0
"otu 106 ",0,0,0,0,0,8,0,0,26,0,29,16,0,0,16,14,0,18,0,0
"otu 107 ",25,0,0,0,0,0,0,8,0,0,5,0,16,0,0,24,0,17,28,0
"otu 108 ",0,0,0,0,0,0,0,0,68,0,0,0,54,0,0,0,0,0,0,0
"otu 109 ",13,0,0,0,0,0,9,0,21,14,0,0,36,15,0,0,0,0,12,0
"otu 110 ",0,0,0,12,0,16,27,13,12,16,0,12,0,0,0,0,0,11,0,0
"otu 111 ",4,7,0,0,0,0,0,0,0,0,0,0,32,2,0,19,8,26,19,0
"otu 112 ",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,113
"otu 113 ",0,0,14,5,6,6,10,15,0,15,24,10,0,0,6,0,0,0,0,0
"otu 114 ",9,17,0,0,0,0,0,0,0,0,0,0,46,0,12,11,0,12,0,0
"otu 115 ",0,8,0,0,0,0,0,0,0,0,0,0,26,5,11,29,8,11,8,0
"otu 116 ",24,15,0,0,0,0,0,0,10,0,26,10,0,0,0,0,0,16,0,0
"otu 117 ",0,0,0,0,0,0,0,12,16,8,41,23,0,0,0,0,0,0,0,0
"otu 118 ",19,24,0,0,0,0,0,0,0,0,0,0,32,0,0,0,11,11,0,0
"otu 119 ",7,24,11,0,0,0,0,0,0,0,19,8,21,0,0,0,0,7,0,0
"otu 120 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
"otu 121 ",0,0,0,0,0,0,0,0,0,0,8,0,37,21,16,11,0,0,0,0
"otu 122 ",11,6,0,0,0,0,0,0,13,0,11,9,12,0,5,8,0,10,7,0
"otu 123 ",35,16,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
"otu 124 ",0,0,10,0,0,0,0,11,8,9,32,20,0,0,0,0,0,0,0,0
"otu 125 ",0,0,0,0,0,0,0,17,0,0,0,0,21,0,0,20,0,0,32,0
"otu 126 ",10,0,4,7,6,0,6,16,13,13,9,5,0,0,0,0,0,0,0,0
"otu 127 ",10,7,0,0,0,0,0,0,0,0,0,0,35,12,0,0,0,9,14,0
"otu 128 ",19,18,0,0,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,0
"otu 129 ",0,37,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
"otu 130 ",0,0,0,0,0,0,0,13,13,11,12,7,0,0,0,14,0,0,0,0
"otu 131 ",20,7,0,0,0,0,0,11,0,0,0,0,11,0,11,0,0,0,9,0
"otu 132 ",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,17,14,14,0
"otu 133 ",17,16,0,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,0
"otu 134 ",0,0,0,0,0,0,0,0,0,24,43,0,0,0,0,0,0,0,0,0
"otu 135 ",0,26,0,0,0,0,0,22,0,0,0,0,17,0,0,0,0,0,0,0
"otu 136 ",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
"otu 137 ",7,0,9,0,0,0,0,0,0,0,0,0,39,0,9,0,0,0,0,0
